codigo,alvo,evento,particao,h,motor,regime,n,mae_cm,vies_cm,cobertura_pareada
86510000,Muçum,ev20230908,selecao,12,gbm_nivel,alto,137,41.7918834359661,-23.552742042888237,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,gbm_nivel,subida,34,29.87217946015611,12.582114921284766,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,gbm_delta,todos,253,27.23245068384286,-6.89514867918858,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,gbm_delta,alto,137,26.36980493549718,2.7596841136278525,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,gbm_delta,subida,34,23.257067282259648,6.399388281385266,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,persistencia,todos,253,36.059288537549406,15.387351778656129,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,persistencia,alto,137,64.1094890510949,27.20437956204379,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,persistencia,subida,34,78.94117647058823,-39.23529411764706,0.9583333333333334
86510000,Muçum,ev20230920,selecao,6,linear,todos,154,18.382699333156864,-10.478774836808215,1.0
86510000,Muçum,ev20230920,selecao,6,linear,alto,129,19.04323863205789,-9.60754582246338,1.0
86510000,Muçum,ev20230920,selecao,6,linear,subida,48,25.62848184908504,-5.530796050919932,1.0
86510000,Muçum,ev20230920,selecao,6,gbm_nivel,todos,154,23.125848863350257,-8.202500077597788,1.0
86510000,Muçum,ev20230920,selecao,6,gbm_nivel,alto,129,21.196769276774965,-8.527167745794577,1.0
86510000,Muçum,ev20230920,selecao,6,gbm_nivel,subida,48,26.53177702722552,-9.07086454110794,1.0
86510000,Muçum,ev20230920,selecao,6,gbm_delta,todos,154,16.686658269509447,0.0012415245962115,1.0
86510000,Muçum,ev20230920,selecao,6,gbm_delta,alto,129,15.608136185033972,-2.266746663090032,1.0
86510000,Muçum,ev20230920,selecao,6,gbm_delta,subida,48,20.209177928859688,-1.9878522827107947,1.0
86510000,Muçum,ev20230920,selecao,6,persistencia,todos,154,41.03896103896104,-6.4935064935064934,1.0
86510000,Muçum,ev20230920,selecao,6,persistencia,alto,129,47.95348837209303,-7.875968992248062,1.0
86510000,Muçum,ev20230920,selecao,6,persistencia,subida,48,55.104166666666664,-45.770833333333336,1.0
86510000,Muçum,ev20230920,selecao,9,linear,todos,151,32.77230090044066,-17.305727560568716,1.0
86510000,Muçum,ev20230920,selecao,9,linear,alto,132,34.5063685423022,-16.813546009569894,1.0
86510000,Muçum,ev20230920,selecao,9,linear,subida,50,41.38478587005119,-7.579081167233074,1.0
86510000,Muçum,ev20230920,selecao,9,gbm_nivel,todos,151,36.16898953017407,-5.574878301876664,1.0
86510000,Muçum,ev20230920,selecao,9,gbm_nivel,alto,132,35.14933414291761,-5.829771792912487,1.0
86510000,Muçum,ev20230920,selecao,9,gbm_nivel,subida,50,46.04547559929506,2.8448655360653925,1.0
86510000,Muçum,ev20230920,selecao,9,gbm_delta,todos,151,30.6918453327467,2.639848571179153,1.0
86510000,Muçum,ev20230920,selecao,9,gbm_delta,alto,132,30.18953732928836,1.318009865409168,1.0
86510000,Muçum,ev20230920,selecao,9,gbm_delta,subida,50,40.66627918731689,0.0002581252419349,1.0
86510000,Muçum,ev20230920,selecao,9,persistencia,todos,151,60.264900662251655,-9.112582781456954,1.0
86510000,Muçum,ev20230920,selecao,9,persistencia,alto,132,68.00757575757575,-10.598484848484848,1.0
86510000,Muçum,ev20230920,selecao,9,persistencia,subida,50,68.44,-51.72,1.0
86510000,Muçum,ev20230920,selecao,12,linear,todos,148,47.56531874640952,-25.745102563758746,1.0
86510000,Muçum,ev20230920,selecao,12,linear,alto,135,49.935452918148094,-26.01403073272355,1.0
86510000,Muçum,ev20230920,selecao,12,linear,subida,49,58.87608363053526,-13.417351063449162,1.0
86510000,Muçum,ev20230920,selecao,12,gbm_nivel,todos,148,49.388895262906786,-13.218517647251549,1.0
86510000,Muçum,ev20230920,selecao,12,gbm_nivel,alto,135,48.229938617441725,-10.527402898274302,1.0
86510000,Muçum,ev20230920,selecao,12,gbm_nivel,subida,49,64.64564633908472,-3.0845534877272622,1.0
86510000,Muçum,ev20230920,selecao,12,gbm_delta,todos,148,39.67730130372467,-4.275980692862157,1.0
