codigo,alvo,evento,particao,h,motor,ajuste,n,mae_cm,vies_cm,max_erro_cm,regime
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_delta,meio_6h,311,26.7656456989288,-5.579827242083021,204.17676513918212,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_delta,original,311,26.595222476045205,-11.022301247078238,202.85288568272952,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_postos,integral_12h,311,24.568114063786116,-0.004484847469888639,179.4977465693778,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_postos,integral_6h,311,26.88053943760798,-0.08439379914301462,151.7551271378835,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_postos,meio_12h,311,21.939306657157747,0.4811711933100971,157.43827042678663,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_postos,meio_6h,311,22.339323317814724,0.4412167174735349,143.71552472750182,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_postos,original,311,20.776990594443383,0.9668272340900809,136.33700495875792,todos
86510000,Muçum,ev20230616,desenvolvimento,12,ridge_montante,integral_12h,311,52.413679085653996,0.7672504720237359,358.31947701466834,todos
86510000,Muçum,ev20230616,desenvolvimento,12,ridge_montante,integral_6h,311,53.25960518791761,0.43948572014014187,394.54247994915227,todos
86510000,Muçum,ev20230616,desenvolvimento,12,ridge_montante,meio_12h,311,45.446431482263236,-1.3403853529835055,367.56524751127915,todos
86510000,Muçum,ev20230616,desenvolvimento,12,ridge_montante,meio_6h,311,45.24557325757971,-1.5042677289253024,331.6455535402622,todos
86510000,Muçum,ev20230616,desenvolvimento,12,ridge_montante,original,311,42.72711652620191,-3.448021177990748,427.29371041258264,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_delta,integral_12h,430,17.416276589441793,-0.0013744119746225876,247.40671117655518,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_delta,integral_6h,430,17.015252607612002,0.004427041111270767,230.66825431636892,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_delta,meio_12h,430,14.845159417437431,-3.039226875393513,259.2804241200208,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_delta,meio_6h,430,14.540101780297343,-3.036326148850563,250.91119568992758,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_delta,original,430,13.78477148728666,-6.077079338812408,271.15413706348636,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_postos,integral_12h,430,18.095045068019225,-0.012981968692532403,270.82017076822467,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_postos,integral_6h,430,18.084536690268,-0.003967078509063857,261.60631726930717,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_postos,meio_12h,430,15.459221656963013,-2.2168425121267386,278.13000612205155,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_postos,meio_6h,430,15.136924807152065,-2.212335067035004,273.52307937259275,todos
86510000,Muçum,ev20230708,desenvolvimento,6,gbm_postos,original,430,13.667618406826675,-4.420703055560945,285.43984147587844,todos
86510000,Muçum,ev20230708,desenvolvimento,6,ridge_montante,integral_12h,430,29.404060783182743,0.18554018901066013,369.43005506033603,todos
86510000,Muçum,ev20230708,desenvolvimento,6,ridge_montante,integral_6h,430,30.115777236751516,0.12794009830491093,408.461743509529,todos
86510000,Muçum,ev20230708,desenvolvimento,6,ridge_montante,meio_12h,430,25.387279291755803,-2.701433918576942,384.9114639966615,todos
86510000,Muçum,ev20230708,desenvolvimento,6,ridge_montante,meio_6h,430,25.182973884084667,-2.7302339639298183,371.9501659227917,todos
86510000,Muçum,ev20230708,desenvolvimento,6,ridge_montante,original,430,23.15635978273274,-5.5884080261645455,404.22703268883345,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_delta,integral_12h,430,31.866084580172142,0.07374107906287604,444.3753250974014,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_delta,integral_6h,430,31.88280961031166,0.03328515962269744,423.45925825126506,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_delta,meio_12h,430,26.181577495457066,-7.3395183443392975,453.2476036108567,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_delta,meio_6h,430,26.068445537071916,-7.359746304059387,442.7895701877885,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_delta,original,430,24.719488735331158,-14.75277776774147,462.11988212431197,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_postos,integral_12h,430,32.205762680221575,0.10746375655649505,451.63304154528976,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_postos,integral_6h,430,32.47756997769395,0.04412645369281158,431.10911092320964,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_postos,meio_12h,430,27.105319244472895,-5.178813822253041,462.72042081749055,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_postos,meio_6h,430,27.003997965713367,-5.21048247368488,452.4584555064506,todos
86510000,Muçum,ev20230708,desenvolvimento,9,gbm_postos,original,430,23.55350035615827,-10.465091401062573,473.80780008969145,todos
86510000,Muçum,ev20230708,desenvolvimento,9,ridge_montante,integral_12h,430,51.61418474814283,0.39838576860769664,593.4536086050967,todos
86510000,Muçum,ev20230708,desenvolvimento,9,ridge_montante,integral_6h,430,50.92589387580699,0.29222512233931935,651.6869035882951,todos
86510000,Muçum,ev20230708,desenvolvimento,9,ridge_montante,meio_12h,430,44.03319344889086,-4.173338035180792,606.341796377984,todos
86510000,Muçum,ev20230708,desenvolvimento,9,ridge_montante,meio_6h,430,42.837777855359285,-4.22641835831498,594.1254103782577,todos
86510000,Muçum,ev20230708,desenvolvimento,9,ridge_montante,original,430,39.749212255057486,-8.745061838969278,619.2299841508711,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_delta,integral_12h,430,52.60645435668105,0.3151648319222803,609.9301297727332,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_delta,integral_6h,430,54.27030953586366,0.15134667981222338,603.1606349246862,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_delta,meio_12h,430,42.574095020814724,-11.049416984007085,611.1521891001536,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_delta,meio_6h,430,43.047453532601104,-11.131326060062115,607.76744167613,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_delta,original,430,37.573044062749645,-22.41399879993645,612.6456055473614,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_postos,integral_12h,430,46.407117945342925,0.3368055444183475,527.7236592290917,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_postos,integral_6h,430,45.376239695264665,0.15808431327199587,504.8369708271342,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_postos,meio_12h,430,38.97648480905789,-9.60312992140666,534.0208549700216,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_postos,meio_6h,430,37.33492606892759,-9.692490536979836,522.5775107690428,todos
86510000,Muçum,ev20230708,desenvolvimento,12,gbm_postos,original,430,34.06256868911206,-19.543065387231668,540.3180507109514,todos
86510000,Muçum,ev20230708,desenvolvimento,12,ridge_montante,integral_12h,430,80.25004310005869,0.6409650741547179,769.316381358622,todos
86510000,Muçum,ev20230708,desenvolvimento,12,ridge_montante,integral_6h,430,81.1193713752965,0.4960610539445841,859.6052431654216,todos
86510000,Muçum,ev20230708,desenvolvimento,12,ridge_montante,meio_12h,430,66.01153217420888,-5.847845397866936,773.5880410850153,todos
86510000,Muçum,ev20230708,desenvolvimento,12,ridge_montante,meio_6h,430,65.20814692262056,-5.920297407972002,767.0021387248146,todos
86510000,Muçum,ev20230708,desenvolvimento,12,ridge_montante,original,430,58.05911514593817,-12.336655869888588,778.5556823218565,todos
